"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000004105.9",2067.58257922541,-4.62478918726686,0.293254397711721,-15.7705706149825,2.13579715121645e-35,3.69685128904055e-31,"Angptl2"
"ENSMUSG00000027800.15",1415.23079422158,-3.67701124229891,0.228266647581901,-16.1084034012442,4.6036305822305e-32,3.98421208739138e-28,"Tm4sf1"
"ENSMUSG00000042757.17",944.524382735028,-3.22241877129993,0.199902824347905,-16.1199261781901,5.15631208104542e-29,2.97502019369384e-25,"Tmem108"
"ENSMUSG00000028654.14",424.952246930458,3.52708648646875,0.232922628575581,15.1427386340192,1.00295282541768e-27,4.34002761378865e-24,"Mycl"
"ENSMUSG00000011179.9",19505.5307781784,-2.76231022088173,0.167829301786615,-16.4590461348272,4.2911379771366e-26,1.48550614492515e-22,"Odc1"
"ENSMUSG00000119972.2",59.8608413524298,-6.65931996663056,0.550561215258124,-12.0955123282856,4.37325374001687e-25,1.26161081643253e-21,"Gm6634"
"ENSMUSG00000056481.8",651.692023164553,-3.60609469656548,0.254675758267458,-14.1595522129687,7.05466746048772e-25,1.74441770105117e-21,"Cd248"
"ENSMUSG00000004902.8",634.519251982609,3.47966813879777,0.245152193568462,14.1939098653263,2.37466049936622e-24,5.13787482294123e-21,"Slc25a18"
"ENSMUSG00000029378.6",552.544307612883,-4.78987877525544,0.378724744112662,-12.6473879769276,7.1033949465751e-24,1.36614070144743e-20,"Areg"
"ENSMUSG00000001260.11",707.570333450733,6.35912520887228,0.537247132174285,11.8364991231063,9.78944620721841e-24,1.69445524400743e-20,"Gabrg1"
"ENSMUSG00000020099.9",2366.30212569576,-3.83035682794142,0.286776685121466,-13.3565838042902,2.82085730263949e-23,4.43874718648973e-20,"Unc5b"
"ENSMUSG00000017390.16",8892.20494452671,3.41266540792618,0.245203939882475,13.9176613946817,3.80729547800986e-23,5.49170645240605e-20,"Aldoc"
"ENSMUSG00000041351.17",2196.86379709559,3.56775181843634,0.264105559074546,13.5088100036142,1.20950764309726e-22,1.61041290725927e-19,"Rap1gap"
"ENSMUSG00000026837.17",6319.7173802106,-3.43596310367625,0.252638328243337,-13.6003239396311,2.6546231959634e-22,3.28206234992361e-19,"Col5a1"
"ENSMUSG00000030307.9",1063.48478821706,6.59877235595883,0.586798831768447,11.2453740510559,7.05859838042462e-22,8.14515195778465e-19,"Slc6a11"
"ENSMUSG00000019874.12",13339.731094854,3.9978432982582,0.316074219823133,12.6484320691997,1.21635997369233e-21,1.25749178835577e-18,"Fabp7"
"ENSMUSG00000022899.11",595.469926293326,3.19805679692768,0.231788490170949,13.7973063052831,1.23504306442013e-21,1.25749178835577e-18,"Slc15a2"
"ENSMUSG00000019873.9",8592.02832730741,2.02562104232947,0.110337404268585,18.358425737465,7.33847662355258e-21,7.05676065983731e-18,"Reep3"
"ENSMUSG00000044986.11",236.997268652557,3.36551837080254,0.25483172857492,13.206826283459,8.26433297525607e-21,7.52880734045828e-18,"Tst"
"ENSMUSG00000078202.4",1225.05186201091,3.37363543747017,0.256895347901771,13.1323337110804,1.23596942464127e-20,1.06966973855578e-17,"Nrarp"
"ENSMUSG00000041594.19",231.665250839825,-3.2332381215897,0.259380763889262,-12.4652193675013,3.65674769598382e-18,3.014030755704e-15,"Tmtc4"
"ENSMUSG00000032495.9",30.9229779250549,5.58429793277037,0.536987346485429,10.3993100942126,6.88347825012606e-18,5.41573295597418e-15,"Lrrc2"
"ENSMUSG00000040152.9",3169.67793093976,-6.05765368714753,0.599507651634783,-10.1043809376395,1.63706976691675e-17,1.23200176502443e-14,"Thbs1"
"ENSMUSG00000044576.7",1393.29073803835,2.59232427831951,0.190301596474859,13.6221888115478,2.94586968848724e-17,2.12458576825106e-14,"Garem2"
"ENSMUSG00000024261.7",717.647908374753,-6.51960019183435,0.660409135437802,-9.87206239585456,3.19359160718417e-17,2.21111508515003e-14,"Syt4"
"ENSMUSG00000026204.16",727.709669488166,-4.53783802092446,0.423998733513309,-10.7024801308328,3.59148062929238e-17,2.39095916201623e-14,"Ptprn"
"ENSMUSG00000097134.4",19.3578007088439,4.43536802928268,0.413683969839106,10.7216337896963,5.0192316917421e-17,3.21769930934682e-14,"1110002J07Rik"
"ENSMUSG00000026193.16",25321.1372324903,-3.16078847955823,0.263571070953793,-11.9921676841096,1.22083106480154e-16,7.54691603594638e-14,"Fn1"
"ENSMUSG00000028108.17",350.845045770347,-3.44613180061906,0.299024972200439,-11.5245618961519,1.41499031880402e-16,8.44554049247544e-14,"Ecm1"
"ENSMUSG00000056856.15",133.277465563827,-4.51228611527884,0.431420134369593,-10.459145866876,1.95657719879351e-16,1.12887982446389e-13,"Jakmip3"
"ENSMUSG00000025355.8",571.366115576867,-3.56514300068298,0.31693588250092,-11.2487831057521,2.89702984898325e-16,1.61757063406617e-13,"Mmp19"
"ENSMUSG00000048126.17",703.604433101021,-6.16394738191329,0.640555094654869,-9.62282157046057,3.76278431145925e-16,2.03531355147025e-13,"Col6a3"
"ENSMUSG00000013846.11",399.458358009429,-3.40127140267266,0.298391002344858,-11.3987063146821,4.22861156251265e-16,2.21797083441004e-13,"St3gal1"
"ENSMUSG00000036949.17",157.249429547891,5.69364727185381,0.585864259586251,9.71837277780825,5.66622055606842e-16,2.8609826678126e-13,"Slc39a12"
"ENSMUSG00000050822.12",29.6740426609719,-5.09675974887957,0.511523394009564,-9.96388397591896,5.78510563137334e-16,2.8609826678126e-13,"Slc29a4"
"ENSMUSG00000032009.9",11719.9620305158,2.24377823104081,0.155525363851946,14.427088774901,6.36043630729654e-16,3.05813311230544e-13,"Sesn3"
"ENSMUSG00000028383.18",1754.64853315181,2.45835419350185,0.182855403145027,13.4442524050113,7.5913076011911e-16,3.55129576402748e-13,"Hsdl2"
"ENSMUSG00000048001.8",267.739223721551,5.53622189506017,0.574501415321669,9.63656789593875,1.44081337420243e-15,6.56290491949208e-13,"Hes5"
"ENSMUSG00000030226.13",632.783002907352,3.08398217404454,0.265091526587266,11.6336505121348,1.89979606213516e-15,8.43168462551217e-13,"Lmo3"
"ENSMUSG00000019846.12",3868.57952565474,-3.7329070244004,0.349129905622243,-10.6920288531209,2.48308589459395e-15,1.07449334373817e-12,"Lama4"
"ENSMUSG00000123342.1",298.172668549143,-4.0087412747457,0.390804019512089,-10.2576766732096,6.8648456032618e-15,2.89813689138679e-12,"ENSMUSG00000123342"
"ENSMUSG00000006522.18",327.943468458748,4.7261956304158,0.492280586392171,9.60061347341193,1.87690209143831e-14,7.26725048537362e-12,"Itih3"
"ENSMUSG00000025321.15",4636.44357371039,2.82788964805914,0.241435714315921,11.7128058542276,1.85300020613708e-14,7.26725048537362e-12,"Itgb8"
"ENSMUSG00000040289.9",1094.92120682802,2.52850748551077,0.201959309356734,12.5198857807763,1.8893423758843e-14,7.26725048537362e-12,"Hey1"
"ENSMUSG00000054252.19",2280.60398712274,3.80640634891011,0.370524802774271,10.2730136293441,1.80758629217065e-14,7.26725048537362e-12,"Fgfr3"
"ENSMUSG00000021211.5",93.375013338025,-3.41929370367895,0.320154334407521,-10.6801418447347,2.0679416272242e-14,7.78130470122253e-12,"Akr1c12"
"ENSMUSG00000030110.14",80.1906085983947,-5.30123897252158,0.574792679845087,-9.22287140808808,3.62910188874424e-14,1.33651328919732e-11,"Ret"
"ENSMUSG00000055447.20",6451.79518328182,-1.82803181981962,0.111077272177068,-16.4572984553092,4.50852576851544e-14,1.6257931776507e-11,"Cd47"
"ENSMUSG00000015224.11",407.288358885688,2.94348279716154,0.261869745011026,11.240255330136,5.78731087035709e-14,2.04433803785737e-11,"Cyp2j9"
"ENSMUSG00000096937.3",804.206522622536,-2.66981373231647,0.225982557035685,-11.8142469371867,7.38981767751643e-14,2.55820708360264e-11,"Gm10825"
"ENSMUSG00000030671.10",3712.29468737661,-1.95438421797071,0.129291086014229,-15.1161559409875,7.81577309674827e-14,2.65261208885521e-11,"Pde3b"
